GLOBAL_2.Earth.Latitude   GLOBAL_2.Earth.Longitude   GLOBAL_4.Earth.Latitude   GLOBAL_4.Earth.Longitude   GLOBAL_9.Earth.Latitude   GLOBAL_9.Earth.Longitude   GLOBAL_14.Earth.Latitude   GLOBAL_14.Earth.Longitude   GLOBAL_12.Earth.Latitude   GLOBAL_12.Earth.Longitude   GLOBAL_13.Earth.Latitude   GLOBAL_13.Earth.Longitude   GLOBAL_17.Earth.Latitude   GLOBAL_17.Earth.Longitude   GLOBAL_16.Earth.Latitude   GLOBAL_16.Earth.Longitude   GLOBAL_18.Earth.Latitude   GLOBAL_18.Earth.Longitude   GLOBAL_20.Earth.Latitude   GLOBAL_20.Earth.Longitude   GLOBAL_19.Earth.Latitude   GLOBAL_19.Earth.Longitude   GLOBAL_5.Earth.Latitude   GLOBAL_5.Earth.Longitude   
-30.94419719836742        -167.9752098018457         42.64914964886028         -103.5045811011816         -38.43743694548753        12.37498325806138          0.9386742734341149         72.41192836774218           0.1934422982276556         79.27794806011391           -4.091011171407448         93.17540347216415           21.4930742809432           -5.442304001878786          -34.50017255774624         144.7780636147138           22.83109092866956          143.0206586457112           45.94660192806013          177.6875202225091           -6.629395540279825         165.6045221769695           23.45830721858863         131.1268044468567          
-34.64719329335899        -168.9070425252533         41.4640591496434          -98.91215572526279         -40.0052791976555         16.58298070470468          3.505305028595958          75.00264232940035           -2.877383424595292         81.30759027826407           -7.168657587294421         95.23726156241622           19.14309205438115          -2.466670424637295          -32.76782580217152         148.5860093169705           25.71097691281241          145.5297700931068           47.78809039537531          -177.6217578439456          -9.168222723215484         168.2435882319049           21.17074601828716         134.1869744311485          
-40.05019435912631        -170.3881309026798         39.38216608909429         -92.53430625140943         -41.9706368459878         23.08706111624669          7.241467872225914          78.82272062975169           -7.358232056312079         84.30135196020244           -11.64616704728374         98.31255303955234           15.60788255955746          1.726071775750653           -30.0099445818413          153.8703690173571           29.82026474341756          149.4483852599753           50.06317447001421          -170.1551164909376          -12.83649376785319         172.180211818079            17.71388209937489         138.4832291089926          
-41.45432026267934        -170.8024023621924         38.77759196892842         -90.94224416850187         -42.41304639376698        24.845893937806            8.208770039712297          79.82736551088982           -8.521348768898763         85.09030147471532           -12.80568769808461         99.12973464463558           14.67097314340372          2.791033590557491           -29.25243415855814         155.1934897052585           30.86690399819375          150.524695454227            50.56457214500089          -168.096458531479           -13.78062736867082         173.2242737804663           16.79502052036109         139.5712468911071          
-41.92111293342396        -170.9432537794297         38.57111706111043         -90.41900824075624         -42.55351996427624        25.43661716958226          8.529886016230252          80.16270811425858           -8.907805836856156         85.35388763507892           -13.19068797612157         99.40337712581089           14.35798796742212          3.143094997944465           -28.9971121308038          155.6289709166321           31.21267928104287          150.8883415119701           50.7224259493599           -167.4017315350127          -14.09351918894885         173.5735688658875           16.48783284021127         139.9306234313066          
-42.39544543312395        -171.0880652881873         38.35855347734687         -89.89040351902256         -42.69282994352555        26.03989825414798          8.855934329054818          80.50420534074465           -9.300381176870472         85.62245056479422           -13.58164709436238         99.68250684348193           14.03919528819852          3.499877118146647           -28.73591772164927         156.0692834294439           31.56288816415683          151.2609369454715           50.87821397164569          -166.6906130915457          -14.41094048587692         173.9296802546236           16.17482918628461         140.2946604352936          
-42.81797716516564        -171.2185372284145         38.16689125247356         -89.42214055029049         -42.81398417363613        26.57982661869814          9.146149413324059          80.80905764803148           -9.649971745021427         85.86232101575327           -13.92968136243601         99.93208823952428           13.75458981115742          3.816898311724611           -28.50178150945404         156.4596592993131           31.87385338819432          151.5955001266435           51.01302158900951          -166.052829552849           -14.69323980185992         174.2479224383246           15.89529445599061         140.6179929487307          
-43.26845890558034        -171.3592179302398         37.96017696558221         -88.92561113899859         -42.94007083966813        27.15806375400608          9.455316610879267          81.13477280299567           -10.02256309160575         86.11874641485801           -14.30049117819163         100.1991791981633           13.45051795531582          4.154085420023462           -28.25065388063083         156.8739566739915           32.2043312139382           151.9550017642064           51.15257971512141          -165.3684397332312          -14.99372622766391         174.5883003011917           15.59654006697406         140.9617520498153          
-43.70199810904563        -171.4961922228881         37.75894805120988         -88.45039065168024         -43.05838540246345        27.71704797141615          9.752607091175937          81.44893964658431           -10.38101318196256         86.36622378526913           -14.65710630566873         100.4572280640362           13.15726878335247          4.477828596293983           -28.00752273892491         157.2708383130861           32.52132865245586          152.303765399008            51.28278187682183          -164.7055559158669          -15.28242546329231         174.9169569431209           15.30832249852425         141.291667398099           
-44.94605181405878        -171.8983092956913         37.16926309233702         -87.10101865245726         -43.38115925823516        29.33434422022498          10.60424662003259          82.3544727164394            -11.40883572275307         87.08039053777794           -15.67899573120266         101.2034278550525           12.31253094203542          5.402861810624223           -27.30211039198202         158.3998862800773           33.42504976079497          153.320129412104            51.63363067083483          -162.7810270646849          -16.1081059302611          175.866142142942            14.47756020741364         142.2335821023044          
-48.4885897344732         -173.126916833581          35.39466250771822         -83.37291979122266         -44.15985879445163        34.04051875302113          13.01584573233964          84.96983373979363           -14.32820656594912         89.15152961001975           -18.57578479810223         103.380140801332            9.882362867978285          8.008713754294863           -25.23329564512083         161.5387729727998           35.9464527981343           156.3496137881954           52.44006680114978          -157.1354333002106          -18.43482537402008         178.6228948647029           12.08351523373163         144.8807923819349          
